conf id,input_size,output_size,hidden_size,use_batchnorm,lr,tr loss mean,tr loss std,vl loss mean,vl loss std,tr time mean,vl time mean,tr confusion_matrix mean,tr confusion_matrix std,vl confusion_matrix mean,vl confusion_matrix std,tr f1_score mean,tr f1_score std,vl f1_score mean,vl f1_score std,tr roc_auc mean,tr roc_auc std,vl roc_auc mean,vl roc_auc std,tr precision mean,tr precision std,vl precision mean,vl precision std,tr recall mean,tr recall std,vl recall mean,vl recall std,tr accuracy mean,tr accuracy std,vl accuracy mean,vl accuracy std
41,1408,1,"[128, 64, 32]",False,0.002,0.021954,0.016937,1.315244,0.471329,0:00:01,0:00:00,5180.25,,1295.0,,0.997671,0.00186,0.926344,0.004896,0.995689,0.002408,0.798492,0.003856,0.998865,0.000545,0.92713,0.00172,0.996486,0.003517,0.925631,0.010465,0.996197,0.003033,0.879537,0.007262
7,1408,1,"[512, 64]",True,0.0002,0.00991,0.00909,0.92867,0.494776,0:00:02,0:00:00,5180.25,,1295.0,,0.997727,0.002157,0.929915,0.006832,0.997177,0.00237,0.797659,0.005958,0.99968,0.000179,0.925729,0.004458,0.995791,0.00417,0.934402,0.01781,0.996294,0.003512,0.884826,0.009841
36,1408,1,"[128, 64, 32]",True,2e-05,0.420429,0.02417,0.476679,0.01068,0:00:01,0:00:00,5180.25,,1295.0,,0.934155,0.007335,0.9034,0.002683,0.872686,0.010881,0.797508,0.006833,0.961806,0.003466,0.933891,0.003623,0.908118,0.012241,0.874888,0.006825,0.895266,0.011113,0.846834,0.003692
24,1408,1,"[256, 32]",True,2e-05,0.441961,0.038437,0.481807,0.026827,0:00:01,0:00:00,5180.25,,1295.0,,0.923408,0.013229,0.901043,0.013078,0.850919,0.005986,0.795787,0.006285,0.954529,0.003969,0.933817,0.004618,0.894759,0.027231,0.871021,0.027209,0.878857,0.018662,0.843745,0.017802
29,1408,1,"[256, 32]",False,0.002,0.022341,0.017825,0.940998,0.467638,0:00:01,0:00:00,5180.25,,1295.0,,0.997236,0.001765,0.930801,0.004733,0.994196,0.00242,0.794837,0.002079,0.998263,0.000484,0.924088,0.001865,0.996215,0.003204,0.937703,0.011342,0.995483,0.002879,0.885907,0.007039
8,1408,1,"[512, 64]",True,0.002,0.015116,0.007478,0.632255,0.17392,0:00:02,0:00:00,5180.25,,1295.0,,0.996124,0.001914,0.928409,0.004358,0.994585,0.002575,0.793532,0.005105,0.99911,0.000626,0.924203,0.00298,0.993162,0.003588,0.932752,0.010979,0.993678,0.003121,0.882278,0.006397
6,1408,1,"[512, 64]",True,2e-05,0.430689,0.054268,0.475699,0.039561,0:00:02,0:00:00,5180.25,,1295.0,,0.919259,0.015127,0.899069,0.012922,0.843802,0.013653,0.791318,0.011543,0.952397,0.00721,0.932402,0.008857,0.889041,0.031875,0.868899,0.032043,0.872632,0.022045,0.840772,0.017532
25,1408,1,"[256, 32]",True,0.0002,0.248574,0.197014,0.508384,0.147523,0:00:01,0:00:00,5180.25,,1295.0,,0.955281,0.038815,0.913031,0.018336,0.908937,0.072804,0.791013,0.007827,0.971484,0.023463,0.927905,0.00844,0.940706,0.057404,0.900024,0.042326,0.929183,0.060367,0.860502,0.025244
44,1408,1,"[128, 16]",True,0.002,0.128695,0.191614,0.769414,0.383157,0:00:01,0:00:00,5180.25,,1295.0,,0.976192,0.034599,0.917152,0.010044,0.956564,0.070841,0.788996,0.005794,0.987611,0.023046,0.925478,0.004871,0.965336,0.045529,0.909408,0.02363,0.962154,0.054596,0.865753,0.014065
47,1408,1,"[128, 16]",False,0.002,0.071942,0.123354,1.394857,0.566605,0:00:01,0:00:00,5180.25,,1295.0,,0.994389,0.004009,0.923789,0.005474,0.990798,0.004441,0.788282,0.00236,0.99792,0.000475,0.923099,0.002022,0.99091,0.007699,0.924593,0.012607,0.990869,0.00649,0.875174,0.007931
17,1408,1,[512],False,0.002,0.294881,0.024089,0.369719,0.051013,0:00:02,0:00:00,5180.25,,1295.0,,0.93572,0.00181,0.916324,0.00253,0.814604,0.00287,0.753744,0.003259,0.931805,0.001755,0.909316,0.001405,0.939692,0.005101,0.923461,0.005513,0.89432,0.002621,0.861931,0.00375
14,1408,1,[512],True,0.002,0.27078,0.039599,0.369666,0.051972,0:00:02,0:00:00,5180.25,,1295.0,,0.935465,0.001432,0.915807,0.002992,0.814555,0.003695,0.753438,0.003381,0.931866,0.00206,0.909304,0.00121,0.939115,0.004601,0.922424,0.006006,0.893934,0.002024,0.861158,0.004505
40,1408,1,"[128, 64, 32]",False,0.0002,0.113958,0.113232,2.867365,2.077972,0:00:01,0:00:00,5180.25,,1295.0,,0.981814,0.019326,0.912021,0.006386,0.953221,0.066988,0.751369,0.002945,0.98415,0.026401,0.90935,0.00255,0.979673,0.014968,0.914879,0.015286,0.970079,0.032167,0.855598,0.009174
22,1408,1,"[256, 64, 16]",False,0.0002,0.185942,0.092499,1.86721,1.951892,0:00:01,0:00:00,5180.25,,1295.0,,0.963117,0.024407,0.916456,0.008805,0.886439,0.087491,0.749976,0.007211,0.957919,0.034572,0.907652,0.003823,0.968673,0.016425,0.925725,0.020209,0.938845,0.040781,0.862008,0.012728
10,1408,1,"[512, 64]",False,0.0002,0.102905,0.112937,1.843523,1.252083,0:00:02,0:00:00,5180.25,,1295.0,,0.97333,0.026372,0.914875,0.007672,0.918364,0.092699,0.749865,0.006268,0.969951,0.036248,0.907966,0.003084,0.976962,0.016715,0.922094,0.017326,0.955707,0.044005,0.859653,0.011298
4,1408,1,"[512, 128, 32]",False,0.0002,0.138849,0.116277,2.339255,2.251854,0:00:02,0:00:00,5180.25,,1295.0,,0.969857,0.02288,0.914375,0.010428,0.910802,0.084896,0.748339,0.003278,0.967631,0.033894,0.907419,0.002727,0.972481,0.015947,0.921811,0.023554,0.950109,0.038345,0.858919,0.015123
